judul,link
"Memahami Perbedaan Antara Zakat, Infak, dan Sedekah dalam Islam",https://www.tempo.co/ramadan/memahami-perbedaan-antara-zakat-infak-dan-sedekah-dalam-islam-1224009
"Kepala BGN Ungkap Alasan PSSI Sulit Menang: Main 90 Menit Berat, Karena Gizinya Tidak Bagus",https://www.tempo.co/ekonomi/kepala-bgn-ungkap-alasan-pssi-sulit-menang-main-90-menit-berat-karena-gizinya-tidak-bagus-1223242
"Kementerian PU Bangun Dapur MBG Senilai Rp 4,5 Miliar per Unit, Target 1.542 Titik",https://www.tempo.co/ekonomi/kementerian-pu-bangun-dapur-mbg-senilai-rp-4-5-miliar-per-unit-target-1-542-titik-1222943
BPOM Awasi Ketat Makanan Ultra Proses di Program Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bpom-awasi-ketat-makanan-ultra-proses-di-program-makan-bergizi-gratis-1222788
Prabowo Klaim Para Pimpinan Negara Ingin Pelajari Makan Bergizi Gratis,https://www.tempo.co/politik/prabowo-klaim-para-pimpinan-negara-ingin-pelajari-makan-bergizi-gratis-1222733
Kilas Balik Penghapusan Dwifungsi ABRI yang Jadi Tuntutan Gerakan Reformasi 1998,https://www.tempo.co/politik/kilas-balik-penghapusan-dwifungsi-abri-yang-jadi-tuntutan-gerakan-reformasi-1998-1222020
"Soal Program 3 Juta Rumah, Ketum REI: Presiden Prabowo Sudah Tidak Antusias",https://www.tempo.co/ekonomi/soal-program-3-juta-rumah-ketum-rei-presiden-prabowo-sudah-tidak-antusias-1221583
Deretan Pejabat Berlatar Belakang Militer dalam Pemerintahan Prabowo,https://www.tempo.co/politik/deretan-pejabat-berlatar-belakang-militer-dalam-pemerintahan-prabowo-1221511
Celios: IHSG Ambruk karena Publik Meragukan Kebijakan Ekonomi Prabowo,https://www.tempo.co/ekonomi/celios-ihsg-ambruk-karena-publik-meragukan-kebijakan-ekonomi-prabowo-1221519
Kala Presiden Prabowo Mengaku Pernah Diancam IHSG Anjlok karena Makan Bergizi Gratis,https://www.tempo.co/politik/kala-presiden-prabowo-mengaku-pernah-diancam-ihsg-anjlok-karena-makan-bergizi-gratis-1221158
Kala Prabowo Mengaku Pernah Diancam IHSG Anjlok karena Makan Bergizi Gratis,https://www.tempo.co/politik/kala-prabowo-mengaku-pernah-diancam-ihsg-anjlok-karena-makan-bergizi-gratis-1221157
Kapolri Resmikan 20 SPPG untuk Program Makan Bergizi Gratis,https://www.tempo.co/hukum/kapolri-resmikan-20-sppg-untuk-program-makan-bergizi-gratis-1220863
"Penerima Manfaat Makan Bergizi Gratis hingga Maret Baru 2,05 Juta Orang, dari Target 82,9 Juta",https://www.tempo.co/ekonomi/penerima-manfaat-makan-bergizi-gratis-hingga-maret-baru-2-05-juta-orang-dari-target-82-9-juta-1220375
Peluncuran Dapur Satuan Pelayanan Pemenuhan Gizi,https://www.tempo.co/foto/arsip/peluncuran-dapur-satuan-pelayanan-pemenuhan-gizi--1220753
Cari Sebab Penerimaan Pajak Anjlok: Salah Satunya Akibat Defisit Belanja Negara,https://www.tempo.co/ekonomi/cari-sebab-penerimaan-pajak-anjlok-salah-satunya-akibat-defisit-belanja-negara--1220709
"Diskon Tarif Listrik Dinilai sebagai Kebijakan Prabowo Paling Berdampak Positif, Bukan Makan Bergizi Gratis",https://www.tempo.co/ekonomi/diskon-tarif-listrik-dinilai-sebagai-kebijakan-prabowo-paling-berdampak-positif-bukan-makan-bergizi-gratis-1220696
Alasan Anindya Bakrie Kukuhkan Sebanyak 2.800 Pengurus Kadin Periode 2024-2029,https://www.tempo.co/ekonomi/alasan-anindya-bakrie-kukuhkan-sebanyak-2-800-pengurus-kadin-periode-2024-2029-1220667
